DATE,SOLD TO,MONTH,PO,PRETTURE ORDER,STYLE CODE,COL,SIZE,BARCODE,PRICE,DOD,SALE MEDIUM,SALE POINTER,COLLECTION,SILHOUETTE,PRICE RANGE
08-Jun-23,AZA ONLINE KOLKATA,Jun-23,242108,10422,VSS340,HIBISCUS,L,OS21722,9625,28-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,CO-ORD,8-10K
08-Jun-23,AZA ONLINE KOLKATA,Jun-23,242107,10421,VSS340,HIBISCUS,S,OS21717,9625,28-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,CO-ORD,8-10K
08-Jun-23,AZA ONLINE KOLKATA,Jun-23,242106,10420,VSS190,PORCELAIN,M,OS22926,9895,28-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS22,CO-ORD,8-10K
08-Jun-23,EVOLUZIONE CHENNAI,Jun-23,MS SINDHU CHARLES ORDER NO : 1,10427 A,VSS354,PEARL,XL,,11835,20-Jun-23,EVOLUZIONE CHENNAI,CORPORATE OFFLINE,SS23,KURTA,10-12K
08-Jun-23,EVOLUZIONE CHENNAI,Jun-23,MS SINDHU CHARLES ORDER NO : 1,10427 B,VSS336,RUE,XL,,12745,20-Jun-23,EVOLUZIONE CHENNAI,CORPORATE OFFLINE,SS23,KURTA,12-14K
08-Jun-23,ANONYM,Jun-23,shweta agarwal,10419 A,VSS336,RUE,L,OS23923,12745,22-Jun-23,ANONYM,CORPORATE OFFLINE,SS23,KURTA,12-14K
08-Jun-23,ANONYM,Jun-23,shweta agarwal,10419 B,VSS355,PEARL + HIBISCUS,L,OS23964,12525,22-Jun-23,ANONYM,CORPORATE OFFLINE,SS23,KURTA,12-14K
08-Jun-23,ANONYM,Jun-23,shweta agarwal,10419 C,VSS345,SKY,L,OS23851,11935,22-Jun-23,ANONYM,CORPORATE OFFLINE,SS23,KURTA,10-12K
09-Jun-23,MOGRA,Jun-23,,10432,VSS346,HIBISCUS,M,OS23946,13985,10-Jun-23,MOGRA,CORPORATE OFFLINE,SS23,KURTA,12-14K
10-Jun-23,PERNIA MUMBAI,Jun-23,483353,10441,VSS339,HIBISCUS,M,OS24037,12285,14-Jun-23,PERNIA,CORPORATE ONLINE,SS23,KURTA,12-14K
10-Jun-23,AZA ONLINE KOLKATA,Jun-23,242895,10440,VSS200,HIBISCUS,L,OS23702,12955,16-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS22,KURTA,12-14K
12-Jun-23,PERNIA MUMBAI,Jun-23,483924,10457,VSS3,SAPPHIRE,M,OS23629,12995,27-Jun-23,PERNIA,CORPORATE ONLINE,FESTIVE 20,KURTA,12-14K
12-Jun-23,OGAAN ONLINE,Jun-23,112026,10456,VSR80,LIME,FS,OS19973,"14,995",01-Jul-23,OGAAN ONLINE,CORPORATE ONLINE,FESTIVE 22,SAREE,14-16K
12-Jun-23,PERNIA MUMBAI,Jun-23,484381,10454,VSS3,SAPPHIRE,M,OS24036,12995,22-Jun-23,PERNIA,CORPORATE ONLINE,FESTIVE 20,KURTA,12-14K
12-Jun-23,ARMADIO,Jun-23,RITIKA DINODIA,10453,OSV1133,BLUSH PINK,M,OS23886,12705,26-Jun-23,ARMADIO,CORPORATE OFFLINE,SS20,KURTA,12-14K
12-Jun-23,RAAYA,Jun-23,Chinu Agarwal,10461,VSS248,WILDFLOWER,L,,13865,26-Jun-23,RAAYA,CORPORATE OFFLINE,PRE FESTIVE 22,KURTA,12-14K
12-Jun-23,MONSOON,Jun-23,Divya Mam,10469,VSS115,PERIWINKLE,L,OS12461,14495,26-Jun-23,MONSOON,CORPORATE OFFLINE,PRE FESTIVE 21,ANARKALI,14-16K
